Augmentation,Accuracy,Precision,Recall,F1-score
None,0.4117647058823529,0.3821428571428571,0.4375,0.38636363636363635
Rotation,0.4117647058823529,0.4270833333333333,0.4125,0.39087301587301587
Flip,0.29411764705882354,0.28809523809523807,0.2875,0.27146464646464646
Brightness,0.35294117647058826,0.41071428571428564,0.3625,0.3758116883116883
Combined,0.4117647058823529,0.5625,0.425,0.41379731379731377
